Date,Incident Narrative,Ground Truth
6/30/24,"Reporting the ongoing clashes between RSF and SAF in Sinjah, the main city of Sennar state, Sudan War Monitor wrote on June 30: ""Starting in the Jebel Moya area yesterday, June 29 (or during the prior night), the RSF advanced about 75 km to reach Sinja and quickly overran large parts of the city, including the headquarters of the 17th Infantry Division, the city’s main military base. The attack happened after SAF had dispatched some of its reserves north from Sinja toward Sennar, leaving the city vulnerable."" (Videos of RSF troops patrolling the city and shouting Allah Akbar included)
On June 30, residents reported that RSF fighters, in their fight to take control of Sinjah, the main city of Sennar state,  have looted homes and shops and taken over the main hospital in a central city, forcing tens of thousands to flee. According to residents, the RSF have been patroling the city in pickup trucks mounted with automatic rifles.","Damage or destruction,  looting,  or theft of cultural heritage ,  Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
6/30/24,"Ongoing battles between RSF and SAF: The RSF is reported to control the 17th Infantry Division base  in Singa after a surprise attack on June 29, and  seizing military vehicles, tanks, and motorcycles. They also reportedly control the main sites in the city, while the army remains at the headquarters of the 67th Brigade in the Hariri area, but the latter was repeatedly attacked by the RSF on June 30. ","Military operations (battle,  shelling)"
6/30/24,"In the evening of June 30, the Halfaya Bridge, the only remaining crossing between Khartoum Bahri (in the North) and Omdurman after  the destruction of the  Shambat bridge in November 2023,  was partly damaged as a result of a explosion likely caused by a bombing. The RSF and SAF accused each other of damaging the bridge. Pictures circulated on the social media showed the damage caused to the eastern section of  the bridge. According to Sudan Tribune, ""the RSF controls the Halfaya Bridge from the Khartoum Bahri side, while the army controls the Omdurman side of the bridge.""","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
7/1/24,"On July 1, after violent clashes between the RSF and the SAF in Sinjah, Sennar state, DTM Sudan ""field teams reported that approximately 55,440 individuals were displaced from Sinja town and neighbouring villages, as well as from various locations in Abu Hujar and Ad Dali localities, due to increased security concerns."" Residents fled due to fighting, looting, and security concerns, with most seeking refuge in the Al Rahad locality in Gedaref State.","Military operations (battle,  shelling),  Damage or destruction,  looting,  or theft of cultural heritage?"
7/1/24,"""On Monday, July 1st, the local resistance committee in El Fasher, a non-governmental group, announced in a statement: """"An RSF drone threw projectiles at the Al-Hijra Mosque in the Al-Tijaniya neighborhood in El-Fasher, killing 9 children and injuring 11 others ». """," Indiscriminate use of weapons,  Willful killing of civilians"
7/2/24,"On July 2, the Sudan Family Planning Association (SFPA), a member of the International Planned Parenthood Federation, announced that one of their clinics in El Fasher has been destroyed, and some staff, volunteers, and patients killed or injured as a result of shelling attributed to the RSF. The SFPA reports: ""The RSF bombardments have also severely injured several of our staff: Dr Marwa, a doctor at the Integrated Centre in El Fasher, was hit by shrapnel in her leg. A midwife at Abu Shouk centre, Halima Abdullah Adam, was hit and four of her children were injured and evacuated. The house of the guard of Abu Shouk centre was hit, killing his daughter and wounding four of his other children. One of our nurses has been hit with shrapnel and has been transferred to hospital and is in critical condition and all contact with her has been lost. The RSF has also been kidnapping our patients, their whereabouts unknown. """," Willful killing of civilians,  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure,  Kidnapping"
7/2/24,"On July 2, two healthcare facilities, the Jabal Marra Hospital and a private hospital in El Fasher’s Grand Market, were damaged as a result of airstrikes and shelling reportedly by the RSF"," Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
7/3/24,"""On Wednesday, July 3rd, fifteen people were killed and 29 others injured as a result of a heavy artillery attack by the Rapid Support Forces (RSF) on a crowded market in El Fasher, the Director General of the Ministry of Health in North Darfur State, Ibrahim Khatir, told Sudan Tribune. He added that all the dead and injured were civilians living in the Al-Nasr, Al-Thawra South, Al-Riyadh South, Al-Radeef, and Al-Mawashi (livestock) market neighbourhoods in El Fasher. A mosque, the Al-Radeef mosque, was also damaged in the attack. ""","Indiscriminate use of weapons,  Willful killing of civilians"
7/3/24,"On Wednesday, July 3, at least 12 people were reportedly killed by artillery fire on a livestock market in the city of Al Fasher."," Indiscriminate use of weapons,  Willful killing of civilians"
7/3/24,"On July 3, the UN announced that more than 136,000 people have fled Sennar state since the RSF began a series of attacks on towns. The RSF began a campaign on June 24 to take control of Sennar, but quickly turned to the smaller towns of Sinjah and Al-Dinder. This prompted an exodus of civilians from all three, mainly to neighbouring Al-Gedaref and Blue Nile states.","Indiscriminate use of weapons,  Forced disappearance"
7/3/24,"On July 3rd, it was reported that the roof of the main building of the Dar Mariam Mission, a Catholic church and school compound in Khartoum's al-Shajara district, that has been hosting about 80 people caught in the crossfire between the SAF and the RSF, has been damaged by shells, and parts of the nuns' quarters have been set ablaze. Holes caused by stray bullets mark the mission's walls. Because of the growing food scarcity, the nuns have boiled tree leaves for the children to eat.","Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
7/3/24,"On Wednesday, July 3, battles erupted in El Meiram, a town in West Kordofan, after a two-week siege by the RSF, but the SAF spokesperson announced that their forces had “repelled the RSF attack and inflicted heavy losses”.","Military operations (battle,  shelling)"
7/4/24,"On Thuresday, July 4, clashes between SAF and RSF continued in Omdurman - Al Thawra (Karrari, Khartoum), with RSF artillery shelling targeting Al Buluk Children's Hospital and damaging the building. SAF killed a large number of RSF.","Damage or destruction of civilian critical infrastructure,  Military operation (battle,  shelling),  Indiscriminate use of weapons"
7/4/24,""" On Thursday, July 4, the SAF and allied armed movements announced that they recaptured A-Dinder, a city in Sennar State, located on the border between Sennar and Gedaref states in eastern Sudan. The RSF had seized the town and engaged in widespread looting."""," Military operations (battle,  shelling),  Damage or destruction,  looting,  or theft of cultural heritage?"
7/4/24,"The Rapid Support militia attacked some villages in the state of South Kordofan on Friday and Saturday with the aim of plundering livestock and cows and committed a massacre in the villages of Al-Labbana, Al-Madfaq, Tab Al-Samu, Duqaq Four, Al-Fariq, Al-Madkhat, Al-Daoudi, Muqitaia, and Qardud Nama. They burned the village of Umm Labana, killing dozens, as well as numbers. There are a large number of injured and burned people, and there is no accurate estimate of the numbers due to the interruption of communication and the difficulty of reaching the area currently."," Willful killing of civilians,  Indiscriminate use of weapons,  Mass execution"
7/6/24,"On July 6, Radio Dabanga reported ethnically-based detention of human rights defenders in Sennar and White Nite State. In Rabak, the capital city of White Nile state, some law offices have been raided by agents of the Military Intelligence and the General Intelligence Service (GIS).","Violent crackdowns on protesters/opponents/civil rights abuse,  Unlawful detention"
